scraped_at,spieltag,player,match_index,home,away,group,result,pick,points
2026-06-18T12:52:58+00:00,3,p11,1,Iraq,Norway,Group I,1-4,2-3,2
2026-06-18T12:52:58+00:00,3,self,1,Iraq,Norway,Group I,1-4,0-2,2
2026-06-18T12:52:58+00:00,3,p10,1,Iraq,Norway,Group I,1-4,2-1,0
2026-06-18T12:52:58+00:00,3,p09,1,Iraq,Norway,Group I,1-4,1-3,2
2026-06-18T12:52:58+00:00,3,p06,1,Iraq,Norway,Group I,1-4,1-2,2
2026-06-18T12:52:58+00:00,3,p07,2,Argentina,Algeria,Group J,3-0,2-0,2
2026-06-18T12:52:58+00:00,3,p02,2,Argentina,Algeria,Group J,3-0,1-0,2
2026-06-18T12:52:58+00:00,3,p08,2,Argentina,Algeria,Group J,3-0,3-1,2
2026-06-18T12:52:58+00:00,3,p05,2,Argentina,Algeria,Group J,3-0,2-1,2
2026-06-18T12:52:58+00:00,3,p01,2,Argentina,Algeria,Group J,3-0,2-0,2
2026-06-18T12:52:58+00:00,3,p03,2,Argentina,Algeria,Group J,3-0,3-1,2
2026-06-18T12:52:58+00:00,3,p11,2,Argentina,Algeria,Group J,3-0,4-2,2
2026-06-18T12:52:58+00:00,3,self,2,Argentina,Algeria,Group J,3-0,2-0,2
2026-06-18T12:52:58+00:00,3,p10,2,Argentina,Algeria,Group J,3-0,3-1,2
2026-06-18T12:52:58+00:00,3,p09,2,Argentina,Algeria,Group J,3-0,2-0,2
2026-06-18T12:52:58+00:00,3,p06,2,Argentina,Algeria,Group J,3-0,2-1,2
2026-06-18T12:52:58+00:00,3,p07,3,Austria,Jordan,Group J,3-1,0-0,0
2026-06-18T12:52:58+00:00,3,p02,3,Austria,Jordan,Group J,3-1,2-0,3
2026-06-18T12:52:58+00:00,3,p08,3,Austria,Jordan,Group J,3-1,2-1,2
2026-06-18T12:52:58+00:00,3,p05,3,Austria,Jordan,Group J,3-1,2-0,3
2026-06-18T12:52:58+00:00,3,p01,3,Austria,Jordan,Group J,3-1,1-0,2
2026-06-18T12:52:58+00:00,3,p03,3,Austria,Jordan,Group J,3-1,1-0,2
2026-06-18T12:52:58+00:00,3,p11,3,Austria,Jordan,Group J,3-1,2-2,0
